MASTER RESULTS — TEXT VERSION FOR A TEXT-ONLY AI

Source file: master_results.csv
Rows: 513
Columns: 15

COLUMN SCHEMA
- model: Model variant name
- seq_len: Sequence length used in evaluation/training condition
- decoys: Number of decoys / distractors
- repeats: Repeat count for the target pattern
- seed: Random seed
- val_acc: Validation accuracy
- router_acc1: Top-1 router accuracy
- recall_at_m: Recall at M retrieved candidates
- pointer_acc: Pointer accuracy after retrieval/disambiguation
- router_miss: Router miss rate
- pointer_miss: Pointer miss rate
- value_miss: Value miss rate
- infer_ms_no_y: Inference time in milliseconds (no_y variant)
- peak_mem_mb: Peak memory in MB
- run_dir: Run directory path

PARSING NOTE
The table below is TAB-SEPARATED (TSV).
Each line after the header is one row.
Do not assume sorting beyond the original file order.

BEGIN_TSV
model	seq_len	decoys	repeats	seed	val_acc	router_acc1	recall_at_m	pointer_acc	router_miss	pointer_miss	value_miss	infer_ms_no_y	peak_mem_mb	run_dir
rft_base	1024	32	1	0	0.894687	0.817187	1	0.897969	0	0.102031	0.013125	2.821921	149.901367	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=1024__seed=0__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	1	1	0.895469	0.819688	1	0.901875	0	0.098125	0.015469	2.849423	141.512695	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=1024__seed=1__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	1	2	0.895	0.820937	1	0.899844	0	0.100156	0.012031	2.837732	141.512695	runs/20260330_234321__step2_base_r1_d32/model=rft_base__L=1024__seed=2__decoys=32__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	2	0	0.87	0.765625	1	0.874219	0	0.125781	0.015469	2.89079	149.901367	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=1024__seed=0__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	2	1	0.865938	0.765469	1	0.872188	0	0.127812	0.016719	2.853496	141.512695	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=1024__seed=1__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	2	2	0.856406	0.77625	1	0.859219	0	0.140781	0.016875	2.818826	141.512695	runs/20260331_040021__step2_base_r2_d32/model=rft_base__L=1024__seed=2__decoys=32__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	4	0	0.857812	0.776094	1	0.862344	0	0.137656	0.016875	2.91482	149.900879	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=1024__seed=0__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	4	1	0.854375	0.770781	0.999844	0.856854	0.000156	0.143125	0.016875	2.891365	141.512695	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=1024__seed=1__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	32	4	2	0.855625	0.795156	1	0.863125	0	0.136875	0.016875	2.863325	141.512695	runs/20260331_074521__step2_base_r4_d32/model=rft_base__L=1024__seed=2__decoys=32__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	64	1	0	0.855469	0.766875	1	0.860156	0	0.139844	0.0175	2.796769	149.901367	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=1024__seed=0__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	64	1	1	0.8575	0.779219	1	0.864062	0	0.135937	0.018906	2.803121	141.512695	runs/20260331_004600__step2_base_r1_d64/model=rft_base__L=1024__seed=1__decoys=64__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
